Island,Clutch Completion,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Species
Biscoe,Yes,50.8,15.7,226.0,5200.0,MALE,8.27102,-26.11244,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,48.5,15.0,219.0,4850.0,FEMALE,8.10231,-26.18763,Gentoo penguin (Pygoscelis papua)
Dream,No,50.3,20.0,197.0,3300.0,MALE,10.02019,-24.54704,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,Yes,37.7,18.7,180.0,3600.0,MALE,8.66271,-25.0639,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,59.6,17.0,230.0,6050.0,MALE,7.76843,-25.6821,Gentoo penguin (Pygoscelis papua)
Dream,Yes,55.8,19.8,207.0,4000.0,MALE,9.70465,-24.53494,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,Yes,40.5,17.9,187.0,3200.0,FEMALE,8.08138,-25.49448,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,50.1,17.9,190.0,3400.0,FEMALE,9.46819,-24.45721,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,Yes,46.1,15.1,215.0,5100.0,MALE,7.83733,-25.42826,Gentoo penguin (Pygoscelis papua)
Biscoe,No,40.9,13.7,214.0,4650.0,FEMALE,8.19579,-25.3933,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,37.9,18.6,193.0,2925.0,FEMALE,9.02642,-25.86482,Adelie Penguin (Pygoscelis adeliae)
Dream,No,37.0,16.5,185.0,3400.0,FEMALE,8.61651,-26.07021,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,40.6,18.8,193.0,3800.0,MALE,8.56674,-25.98843,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,35.7,18.0,202.0,3550.0,FEMALE,8.46531,-26.05621,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,45.4,14.6,211.0,4800.0,FEMALE,8.24515,-25.46782,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,43.8,13.9,208.0,4300.0,FEMALE,8.58319,-26.84415,Gentoo penguin (Pygoscelis papua)
Dream,Yes,45.6,19.4,194.0,3525.0,FEMALE,9.46985,-24.65786,Chinstrap penguin (Pygoscelis antarctica)
Dream,Yes,50.9,19.1,196.0,3550.0,MALE,10.02372,-24.86594,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,Yes,49.1,14.5,212.0,4625.0,FEMALE,8.35802,-26.2766,Gentoo penguin (Pygoscelis papua)
Dream,Yes,52.2,18.8,197.0,3450.0,MALE,9.77528,-24.56481,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,Yes,54.3,15.7,231.0,5650.0,MALE,8.49662,-26.84166,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,48.4,16.3,220.0,5400.0,MALE,8.03659,-26.86127,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,46.8,15.4,215.0,5150.0,MALE,8.1631,-25.38017,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,40.6,18.6,183.0,3550.0,MALE,8.93997,-25.36288,Adelie Penguin (Pygoscelis adeliae)
Biscoe,No,45.5,13.9,210.0,4200.0,FEMALE,8.47829,-26.61788,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,48.4,14.6,213.0,5850.0,MALE,7.8208,-25.48025,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,47.5,14.2,209.0,4600.0,FEMALE,8.39299,-26.78733,Gentoo penguin (Pygoscelis papua)
